artist.name,artist_mbtags,artist_mbtags_count,duration,familiarity,loudness,release.name,tempo,terms,title,year,,,,,
Tim Wilson,,0,186.48771,0.459797129,-4.516,The Real Twang Thang,90.022,filk,I Think My Wife Is Running Around On Me (Taco Hell),2005,,,,,
Willie Bobo,,0,168.25424,0.588827101,-9.616,Willie Bobo's Finest Hour,127.025,latin jazz,Spanish Grease,1997,,,,,
Faye Adams,,0,156.39465,0.396455254,-18.051,Shake A Hand,95.957,jump blues,Crazy Mixed Up World,1961,,,,,
Terry Callier,classic pop and rock,1,342.56934,0.706827671,-11.939,Occasional Rain,110.189,soul jazz,Do You Finally Need A Friend,1972,,,,,
John Wesley,,0,484.62322,0.560557984,-15.335,The Emperor Falls,138.007,disco,The Emperor Falls,0,,,,,
The Shangri-Las,,0,164.80608,0.640807102,-10.922,Best of The Shangri-Las,130.1,doo-wop,Twist and Shout,1964,,,,,
Billie Jo Spears,,0,133.32853,0.523714637,-9.983,20 Of Her Best,160.839,classic country,It Makes No Difference Now,1992,,,,,
Mike Jones (Featuring CJ_ Mello & Lil' Bran),,0,173.66159,0.79360508,-7.762,Who Is Mike Jones?,41.993,rap,Laws Patrolling (Album Version),0,,,,,
Sierra Maestra,,0,313.12934,0.501544777,-9.512,Tibiri Tabara,189.646,charanga,A?DA3nde va Chichi?,1997,,,,,
Butthole Surfers,texas,1,450.84689,0.809323793,-9.063,Piouhgd + Widowermaker!,130.586,noise rock,"Barking Dogs (From ""Piouhgd"")",0,,,,,
Despina Vandi,,0,303.09832,0.632559542,-8.879,Profities,128.292,dance pop,OUTE ENA EFHARISTO,0,,,,,
Javier Navarrete,,0,128.83546,0.597541218,-17.699,Cracks,90.932,orchestra,Midnight Swim,0,,,,,
Jacob Young,jazz and blues,1,456.30649,0.495445922,-19.478,Pieces Of Time,89.667,cool jazz,In A Subtle Way,0,,,,,
Scarlet's Remains,,0,198.73914,0.527865076,-7.469,The Palest Grey,115.061,gothic metal,Spin,2007,,,,,
The Suicide Machines,,0,95.68608,0.668674533,-2.022,A Match & Some Gasoline,115.887,ska punk,Burning In The Aftermath,2003,,,,,
The Rolling Stones,british,4,271.49016,0.814829656,-10.358,Jump Back - The Best Of The Rolling Stones_ '71-'93,139.333,blues,Angie (1993 Digital Remaster),0,,,,,
Roberto Torres,,0,226.66404,0.482356043,-12.716,Lo Mejor con La Orq. Broadway,117.271,salsa,Sabor Guajiro,0,,,,,
Loudon Wainwright III,easy listening soundtracks and musicals,1,190.48444,0.661080168,-15.663,Grown Man,102.428,modern rock,Human Cannonball,1995,,,,,
R.L. Burnside,delta blues,1,277.78567,0.701180874,-6.944,A Bothered Mind,89.984,delta blues,Glory Be,2004,,,,,
Stevie Ray Vaughan,jazz and blues,1,248.78975,0.73379894,-7.805,Greatest Hits,116.721,texas blues,Crossfire,1992,,,,,
John Hammond,folk,1,195.3171,0.590692918,-10.7,Bluesman,123.142,blues,I Can't Be Satisfied,2002,,,,,
Casiotone For The Painfully Alone,dance and electronica,1,175.72526,0.665322162,-10.93,Etiquette,141.919,trip hop,Nashville Parthenon,2006,,,,,
Ec8or,,0,217.23383,0.50407567,-9.493,Ec8or,95.596,hardcore techno,Cocain Ducks,1995,,,,,
The New York Dolls,punk,1,344.05832,0.717670525,-9.253,Too Much Too Soon,154.953,glam rock,Human Being,1974,,,,,
Eliane Elias,brazilian,1,251.42812,0.669726188,-12.009,Bossa Nova Stories,86.091,brazilian jazz,The More I See You,2009,,,,,
Lost Boyz,american,1,269.7922,0.569741152,-11.043,Love_ Peace & Nappiness,90.218,gangster rap,Certain Things We Do,1997,,,,,
The Germs,los angeles,1,206.05342,0.640048357,-11.506,Germicide,133.144,rock,Forming,1977,,,,,
Yamandu Costa,,0,190.04036,0.397772876,-14.179,MafuA!,205.317,brazilian jazz,MafuA!,0,,,,,
Chris Rea,rock,1,241.162,0.643182773,-8.531,The Road To Hell Part 2,180.149,soft rock,Driving Home For Christmas,1986,,,,,
Perrey And Kingsley,,0,122.64444,0.411421048,-8.541,Vanguard Visionaries,102.538,easy listening,Spooks In Space,1966,,,,,
Eurythmics,british,2,207.0722,0.75100762,-6.629,Be Yourself Tonight,84.164,dance rock,Tous Les GarASSons Et Les Filles,1985,,,,,
Francis Dunnery,,0,300.79955,0.54858513,-13.33,Hometown 2001,124.175,singer-songwriter,Too Much Saturn,1995,,,,,
John Cale,british,2,228.46649,0.749317801,-12.412,Eat / Kiss: Music For The Films By Andy Warhol,137.004,experimental rock,Movement 4 [from Kiss] (Album Version),1997,,,,,
Suzanne Ciani,instrumental,1,239.59465,0.631946666,-21.552,The Ultimate Most Relaxing New Age Piano in the Universe,106.33,meditation,Stream,0,,,,,
Vickie Winans,,0,228.93669,0.653937821,-8.686,Classic Gold: Best of All,107.961,ccm,Make Me Over,0,,,,,
The Berzerker,grindcore,1,165.61587,0.668370612,-6.222,The Berzerker,174.287,speedcore,Deform (live),2000,,,,,
Kings Of Leon,american,2,187.92444,0.845768866,-5.907,Holy Roller Novocaine,116.823,southern rock,Wicker Chair,2003,,,,,
Edith Lefel,,0,276.50567,0.407455644,-4.638,Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel),101.972,zouk,An ti chans',0,,,,,
Taras,,0,200.25424,0.460171324,-5.884,I Will Love Again,127.97,trance,I Will Love Again (JJ's Club Radio),0,,,,,
NOFX,american,3,144.50893,0.778816717,-7.787,White Trash ......,152.622,punk,Stickin In My Eye,1992,,,,,
Murskahumppa,,0,285.17832,0.435889847,-8.488,Murskapunkkia,110.787,suomi rock,Ota kiinni,0,,,,,
Soda Stereo,rock en espanol,1,246.69995,0.711165787,-9.603,CanciA3n Animal,112.903,rock,Entre CanAbales,1990,,,,,
Bruce Rowland,,0,84.03546,0.443162398,-26.266,The Man from Snowy River,115.642,easy listening,Rosemary Recalls,1985,,,,,
Xcultures,,0,273.52771,0.400433514,-6.305,One World One People,125.013,gabba,Sudanese Dance,2000,,,,,
White Heart,,0,298.84036,0.477364753,-9.998,Tales Of Wonder,113.277,ccm,Where The Thunder Roars (Tales Of Wonder Album Version),0,,,,,
Heavy D / McGruff,,0,161.38404,0.617870116,-9.161,Waterbed Hev,96.979,pop rap,Wanna Be A Player,1997,,,,,
Van Halen,classic pop and rock,1,209.29261,0.744641246,-4.865,The Best Of Both Worlds,140.995,heavy metal,Panama (Remastered Album Version),0,,,,,
Black Eyed Peas,pop and chart,1,229.61587,0.845601887,-4.882,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,105.206,hip hop,Let's Get It Started,2004,,,,,
Nine Inch Nails,industrial rock,7,426.89261,0.905776889,-12.951,Things Falling Apart,63.017,industrial metal,Metal,2000,,,,,
Nick Cave & The Bad Seeds,seen live,2,269.26975,0.694021648,-11.751,Your Funeral... My Trial (2009 Digital Remaster),144.603,rock,She Fell Away (2009 Digital Remaster),0,,,,,
Nadine Renee,,0,249.41669,0.408389022,-6.693,Oasis of Love,167.92,freestyle,Next Time,0,,,,,
Lesley Gore,classic pop and rock,1,136.48934,0.606925359,-9.091,60's Triple set,129.122,brill building pop,It's My Party,1963,,,,,
Smartbomb,,0,233.27302,0.562463784,-2.658,Yeah.  Well_ Anyway....,132.022,melodic hardcore,Complicate It,2001,,,,,
Suburbs,,0,187.24526,0.481004583,-4.42,Un Titre de Toune,183.92,british pop,Monde De Fou,2005,,,,,
Emperor,,0,72.61995,0.742963152,-11.051,Live Inferno,89.867,heavy metal,Opus a Satana (Part 2),0,,,,,
Julien Clerc,french,1,272.63955,0.58547954,-9.97,Vendredi 13 - 1981,119.896,chanson,This Melody (Live),0,,,,,
Glen Campbell,classic pop and rock,1,142.75873,0.67159627,-11.335,Unconditional Love,137.29,country rock,I'm Gone This Time,0,,,,,
T.G. Sheppard,,0,194.11546,0.449323615,-15.581,The Very Best Of,82.343,country rock,You Feel Good All Over,2002,,,,,
Slim Whitman,,0,195.91791,0.51644378,-11.98,Country Lovers. Vol. 3,91.487,folk-pop,Indian Love Call,1990,,,,,
Savage Garden,australian,3,118.33424,0.728209707,-11.215,Affirmation,84.69,easy listening,You Can Still Be Free,1999,,,,,
Queens Of The Stone Age,stoner rock,3,288.41751,0.798645179,-8.165,Lullabies To Paralyze,115.606,stoner metal,I Never Came,2005,,,,,
Hank Penny & The Lincoln Penny Orchestra,,0,123.21914,0.445854631,-12.69,It's War Again,126.523,western swing,Dixie,0,,,,,
Inspiral Carpets,madchester,2,283.76771,0.605109702,-8.7,The Singles,113.677,indie rock,Commercial Reign,1990,,,,,
Borialis,,0,239.3073,0.454043995,-5.758,What You Thought You Heard,86.938,rap rock,Hourglass,0,,,,,
The Dirty Skirts,durban,1,206.75873,0.543516131,-4.907,Daddy Don't Disco,141.936,indie rock,Wake,0,,,,,
Flor Silvestre,,0,134.81751,0.42054585,-8.133,15 Exitos Vol. 2 Flor Silvestre,106.049,ranchera,Caricia Y Herida,0,,,,,
BA(c)zu,,0,285.64853,0.373850623,-9.093,"Le top du pA""re NAPel",126.88,chanson,Le tortillard,0,,,,,
Redman,soul and reggae,1,124.18567,0.743129776,-10.296,Malpractice,85.008,hip hop,WKYA (drop),2001,,,,,
Solistiyhtye Suomi,finnish,1,134.08608,0.13818761,-12.839,20 Suosikkia / Rilluttele yAP,133.699,german pop,TerA$?slintu,0,,,,,
Eddie Cantor,,0,155.61098,0.416141023,-13.71,The Fabulous Eddie Cantor,118.975,easy listening,Now's The Time To Fall In Love,0,,,,,
Schizoid,,0,275.40853,0.495559652,-2.119,Grim Prospects Remixes - Grim Prospects Will Never End,102.408,breakcore,Grim Prospects (Gross Prospects - Bad Trip Remix),0,,,,,
Kai Winding,,0,223.4771,0.430538907,-14.438,The Incredible Kai Winding Trombones,112.006,hard bop,Mangos,1961,,,,,
Sonny Simmons,,0,443.24526,0.428375417,-13.002,Staying on the Watch,45.527,free jazz,A Distant Voice,0,,,,,
Mira,,0,177.81506,0.545110951,-12.004,Openbare Weg,85.621,shoegaze,Openbare Weg,2006,,,,,
Citizen Kaned,,0,385.33179,0.483339422,-8.37,Tip World Singles 2000,108.061,chill-out,President Johnson,2000,,,,,
The Brooklyn Tabernacle Choir,,0,324.44036,0.559278494,-11.829,Praise Him...Live!,216.195,gospel,Lead Me Lord,1995,,,,,
Ellen McIlwaine,singer-songwriter,1,275.12118,0.438887475,-6.29,Spontanous Combustion,132.428,blues-rock,Spontanous Combustion,0,,,,,
Vince Guaraldi / Bola Sete,,0,294.66077,0.57810363,-15.761,From All Sides,168.307,latin jazz,Choro,0,,,,,
Maurice Chevalier,french,1,193.20118,0.502453177,-27.433,Maurice Chevalier  The Essential Collection Vol 1,140.956,chanson,Ma Louise,0,,,,,
Carl Cox Vs Yousef,uk,1,357.82485,0.541975108,-5.701,Dave Pearce Best of the Dance Years 1988 - 1992,130.016,tech house,I Want You (Forever),1991,,,,,
Organized Konfusion,group,1,198.3473,0.683719468,-8.709,The Equinox,175.769,hip hop,Hate,1997,,,,,
Martina McBride,country,2,261.95546,0.614870934,-13.627,Timeless,100.194,country,I Can't Stop Loving You,2005,,,,,
Horace Andy,classic pop and rock,1,176.27383,0.626436382,-11.479,Feel Good All Over: Anthology 1970-1976,151.911,roots reggae,Thank You Lord,1985,,,,,
Nazz,,0,220.89098,0.494681417,-6.302,13th And Pine,119.691,freakbeat,How Can You Call That Beautiful (Stewkey Vocal),0,,,,,
Tyrone Davis,,0,235.91138,0.543866303,-10.466,Call Tyrone,161.976,chicago soul,Cheatin' In The Next Room,0,,,,,
Hot Tuna,folk,1,239.59465,0.567278871,-9.275,Final Vinyl,172.398,blues-rock,Candy Man,1971,,,,,
Richard Burton,,0,171.49342,0.432386477,-37.398,Fifteen Poems By Dylan Thomas,109.823,jazz fusion,I See The Boys Of Summer,0,,,,,
Rory Block,folk,1,266.05669,0.513829587,-13.836,The Early Tapes 1975-1976,90.101,delta blues,Three Is a Crowd,0,,,,,
Boyz II Men,soul and reggae,1,329.27302,0.790922848,-7.103,Legacy,116.473,new jack swing,On Bended Knee,1994,,,,,
Howard Armstrong,,0,198.922,0.454668191,-13.495,Louie Bluie Film Soundtrack,126.821,piedmont blues,My Four Reasons,0,,,,,
Donny Hathaway,rock and indie,1,283.21914,0.657406765,-15.144,Donny Hathaway,111.191,jazz funk,Little Girl (LP Version),1971,,,,,
Miguel Gallardo,,0,238.68036,0.45871209,-12.991,Canciones De Amor De Miguel Gallardo,125.508,male vocalist,Eternamente Amame,0,,,,,
Les Ogres De Barback,,0,254.06649,0.652367864,-6.01,Irfan_ le hA(c)ros,137.888,chanson,Niev nietch nievitch,1999,,,,,
DJ X-Change featuring DJ Joey A,,0,184.31955,0.342440144,-5.58,What up Detroit,150.012,ghetto tech,Come Over,0,,,,,
Morel,,0,311.40526,0.49825931,-4.313,Peterbilt Angel,108.367,dance pop,Blue Taxi,0,,,,,
Tony Joe White,country,1,162.53342,0.624723768,-17.285,Homemade Ice-Cream,173.482,country rock,I Want Love (Tween You & Me) (Album Version),0,,,,,
Wolfmother,rock and indie,1,212.37506,0.79225559,-5.931,White Feather,110.745,stoner metal,White Feather,2009,,,,,
The Roches,folk,2,338.33751,0.573605491,-14.248,Can We Go Home Now,130.027,singer-songwriter,Christlike Roche,1995,,,,,
Bob Margolin,,0,126.51057,0.555985053,-12.651,In North Carolina,110.168,blues-rock,You Rascal You,0,,,,,
Thomas Battenstein,,0,205.58322,0.42562724,-16.056,Wintertime,97.976,guitar,Sympathy,0,,,,,
Jupiter Rising,,0,193.4624,0.662649695,-5.913,Electropop,119.979,pop rap,They Say (Album),2007,,,,,
Dharma Bums,,0,127.4771,0.491921881,-5.541,DUMB: 4-track cassette recordings (1987),156.968,progressive house,Simon's Folly,0,,,,,
Saafir,,0,234.762,0.594779904,-6.019,The Hit List,188.886,hip hop,Crawl Before You Ball (Album Version),1999,,,,,
The Verve Pipe,,0,292.8322,0.70334944,-4.953,Underneath,133.306,post-grunge,Medicate Myself,2001,,,,,
Bob Neuwirth,american,1,241.10975,0.434272038,-18.114,99 Monkeys,152.267,singer-songwriter,Biding Her Time,1990,,,,,
Marvin Sapp,,0,270.68036,0.733714697,-11.061,Nothing Else Matters,166.275,gospel,More And More  (LP Version),0,,,,,
James Hunter,jazz and blues,1,188.73424,0.625443262,-7.04,A Tribute to The American Horse,114.971,blue-eyed soul,Cowboy Ways,0,,,,,
Nelson Ned,,0,211.80036,0.498663649,-15.358,Mis Momentos,144.651,latin jazz,Brasas Vivas,0,,,,,
Mish Mash,,0,254.32771,0.505644262,-11.213,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,152.005,vocal house,Kolomeyke,0,,,,,
Cama,,0,210.36363,0.406187449,-5.904,In this Life,155.074,los angeles,In This Life,2009,,,,,
Maxi Priest,,0,301.81832,0.661001337,-8.095,Best Of Maxi Priest,61.971,lovers rock,Groovin' In The Midnight,1991,,,,,
Porcupine Tree,progressive rock,4,416.80934,0.830252262,-7.982,Signify (Special Edition),124.04,experimental rock,Waiting,1997,,,,,
Ragheb Alama,,0,413.36118,0.554226467,-8.804,Bravo Alayki Rare recording,191.196,arabesque,A'chek Ouyounik (2009 Digital Remaster),0,,,,,
Foo Fighters,rock,4,117.002,0.839275393,-5.699,In Your Honor,152.127,grunge,Hell,2005,,,,,
Shakira Featuring Wyclef Jean,colombian,1,217.36444,0.833178561,-5.152,Essential R&B Hit Selection,100.023,dance pop,Hips Don't Lie (featuring Wyclef Jean),0,,,,,
The Avengers,punk,1,122.72281,0.574973901,-9.965,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,192.688,rock,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0,,,,,
Robben Ford,jazz and blues,1,203.98975,0.604820432,-11.976,Talk To Your Daughter,154.322,blues-rock,I Got Over It (Album Version),1988,,,,,
Brazilian Tropical Orchestra,,0,192.44363,0.378013152,-10.229,American Songbook - Bacharach,236.006,bossa nova,One Less Bell To Answer,0,,,,,
Gil Semedo,,0,285.36118,0.441593442,-6.284,Nha VitA3ria,150.666,zouk,Festa,0,,,,,
Soda Stereo,rock en espanol,1,225.12281,0.711165787,-3.818,Gira Me VerA!s Volver,175.421,rock,Te Hacen Falta Vitaminas,1984,,,,,
Xmilk,,0,123.66322,0.4621406,-4.633,Scarcity,104.153,thrash core,Sense And Trick,0,,,,,
Dolce, Oscar G.,,0.17678,0.148,-98.52102,776019,0.17678,127.278,0.22,Fire (Oscar G Space Vocal Mix),0,,,,
Britt Nicole,,0,204.06812,0.669500125,-5.157,Hanging On (Premiere Performance Plus Track),160.165,ccm,Hanging On (Medium Key Performance Track Without Background Vocals),0,,,,,
Schizoid,,0,166.00771,0.495559652,-1.925,Grim Prospects Remixes - Prospects Are Getting Grimmer,86.091,breakcore,Grim Prospects (Version 2 Remix),0,,,,,
Toni Braxton Featuring Shaggy,hip hop rnb and dance hall,1,219.01016,0.737972528,-5.21,Snowflakes,149.94,dance pop,Christmas In Jamaica,2001,,,,,
Perrey And Kingsley,classical,1,127.9473,0.530605798,-12.717,The Out Sound From Way In!,135.78,easy listening,Gossippo Perpetuo,2001,,,,,
Sven Tasnadi,,0,570.90567,0.480047819,-12.28,El Fuego De Dentro,122.967,tech house,2190 Dias Contigo,0,,,,,
Eddie,,0,230.00771,0.622684167,-9.748,No Control,142.024,frevo,No Control,0,,,,,
Enthroned,,0,240.74404,0.593416049,-4.878,Pentagrammaton,135.535,black metal,The Vitalized Shell,2010,,,,,
Suzanne Ciani,instrumental,1,192.20853,0.631946666,-23.988,Pianissimo,139.189,meditation,Mozart,1989,,,,,
Milan Band,,0,152.0322,0.20107756,-9.414,Milan Milan,128.598,serialism,Ciao Milan,0,,,,,
Johnny Osbourne,,0,215.30077,0.618765786,-9.741,Auralux Reggae Showcase,163.445,roots reggae,Lend Me Your Chopper,2004,,,,,
Dolly Parton,country,2,155.21914,0.707335681,-11.965,Heaven,114.027,bluegrass,Letter To Heaven,1971,,,,,
Rance Allen Group,,0,207.12444,0.488008882,-12.779,Up Above My Head,111.316,jazz funk,Heaven is Where The Heart Is,0,,,,,
Pearl Jam,grunge,4,428.56444,0.81444811,-8.403,Pearl Jam,105.994,grunge,Inside Job,2006,,,,,
Natalie Cole,jazz and blues,1,185.7824,0.69044755,-13.251,Take A Look,88.489,vocal jazz,Take A Look  (LP Version),0,,,,,
Mastodon,heavy metal,2,654.28853,0.780461749,-5.884,Crack The Skye,118.433,alternative metal,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009,,,,,
Kiril Valeri,,0,306.72934,0.605874049,-6.929,Behind The Blue,96.007,flamenco,Bulgarian Dream,0,,,,,
Word,,0,229.51138,0.638880206,-4.198,Matumago X Press,187.807,blues-rock,Amalgama,0,,,,,
DJ Quik,,0,205.58322,0.712098902,-6.998,The Best of DJ Quik - Da Finale,181.115,gangster rap,Born and Raised In Compton,1991,,,,,
Hank Locklin,,0,127.05914,0.635757022,-12.772,RCA Country Legends,148.357,honky tonk,We're Gonna Go Fishin',0,,,,,
BT,trance,2,44.35546,0.786427083,-18.147,LOOK (Original Motion Picture Soundtrack),136.164,electronica,Robbers Kill Cop,0,,,,,
2-4 Grooves feat. Reki D.,,0,203.83302,0.622829997,-7.661,Relax,126.941,vocal house,Relax,2009,,,,,
The Jordanaires,,0,176.50893,0.382308283,-17.308,Joy In Our Hearts - The Gospel Side Of The Jordanaires,159.582,country gospel,Sweet By And By,0,,,,,
Descendents,punk,2,140.66893,0.727230316,-28.347,Enjoy!,89.495,hardcore punk,Orgofart,1986,,,,,
L.A. Guns,,0,201.09016,0.665728336,-2.869,A Nite On The Strip - Live,102.259,heavy metal,Bitch Is Back,1988,,,,,
Bare Jr.,,0,254.79791,0.53938059,-7.309,Boo-Tay,107.529,post-grunge,Naked Albino,1998,,,,,
Shelley Fabares,,0,143.0722,0.075124762,-15.351,The Best Of Shelley Fabares [Digital Version],99.408,brill building pop,Johnny Loves Me (LP Version),0,,,,,
Norrie Paramor,orchestral conductor,1,163.49995,0.312415123,-25.694,In London_ In Love,79.731,easy listening,Dearly Beloved,0,,,,,
Gary Hobbs,,0,289.64526,0.524700041,-9.435,Of My Times,188.502,tejano,The Look Of Love,0,,,,,
Diesel Boy,punk,1,124.15955,0.567814264,-4.793,Venus Envy,133.729,pop rock,Cooler Than You,1998,,,,,
Angelo Badalamenti,soundtrack,3,167.3922,0.698770478,-17.623,Freddy's Favorites: The Best of A Nightmare On Elm Street,139.136,chill-out,Taryns Deepest Fear,0,,,,,
Cradle Of Filth,gothic metal,2,321.35791,0.784820389,-6.2,Bitter Suites to Succubi,193.693,sympho black metal,Summer Dying Fast,1994,,,,,
Jim Chappell,,0,263.94077,0.520204911,-19.821,Manila Nights,76.693,chamber jazz,Still,0,,,,,
Ladybug,,0,341.36771,0.479695608,-9.632,Snapshot,126.95,dancehall,Snapshot,0,,,,,
Bandido,,0,333.13914,0.463087254,-5.671,End Of The Road - Single,144.812,hard house,End Of The Road (Head Hornys Remix),0,,,,,
Brixx,,0,349.12608,0.515611096,-11.708,7 Miles,138.003,rap,7 Miles,0,,,,,
Nine Inch Nails,industrial rock,7,168.56771,0.905776889,-16.968,Things Falling Apart,130.284,industrial metal,The Frail,1999,,,,,
Susana Seivane,,0,350.71955,0.352212817,-13.038,Os soA+-os que volven,152.013,gaita,Para Milladoiro,2010,,,,,
Leland Martin,,0,175.62077,0.385143351,-10.647,Leland Martin,159.968,honky tonk,Stone Cold Fingers (Bonus Track),0,,,,,
Test Icicles,indie,1,190.24934,0.682045692,-4.172,For Screening Purposes Only,75.031,grime,Snowball,2005,,,,,
Heaven 17,new wave,2,255.16363,0.630928608,-10.756,Endless,150.837,new romantic,(We Don't Need This) Fascist Groove Thang,1981,,,,,
React,,0,120.2673,0.485107918,-3.422,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,143.231,happy hardcore,Drunk Alone,0,,,,,
Sven Tasnadi,,0,557.26975,0.480047819,-12.26,Break The Night,123.993,tech house,Charisma,0,,,,,
Mance Lipscomb,,0,187.53261,0.450852685,-23.527,Texas Songster,97.981,texas blues,Going Down Slow,2000,,,,,
Scott Wesley Brown,,0,295.60118,0.497307512,-9.435,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,137.288,modern rock,All Rise,0,,,,,
FlA!vio JosA(c),,0,252.02893,0.424278927,-8.639,Seu Olhar NAPSo Mente,168.323,brazil,Jogo Limpo,0,,,,,
Moss,,0,329.35138,0.602555589,-7.672,Never Be Scared / Don't Be A Hero,111.079,future jazz,Silent Hill,2009,,,,,
Pery Ribeiro,,0,180.00934,0.385417447,-13.668,S'Wonderful Movie'n Bossa,133.009,bossa nova,Our Love Is Here To Stay,0,,,,,
Soular,,0,244.45342,0.539181188,-6.885,Time and Space,146.577,breakbeat,Everything Changes,0,,,,,
Dimmu Borgir,norwegian,4,282.53995,0.826075467,-4.2,Death ... Is just the beginning Vol.4,140.458,black metal,Master Of Disharmony,1996,,,,,
Public Image Ltd,uk,2,388.28363,0.684994897,-16.433,Live In Tokyo,132.506,dance rock,(This Is Not A) Love Song (Live),1983,,,,,
Gary Moore,blues rock,2,345.93914,0.761362238,-6.951,Dark Days In Paradise,153.862,blues-rock,What Are We Here For,1997,,,,,
Pascal Sangla,,0,243.1473,0.464481282,-14.737,Une petite pause,93.238,french pop,Une petite pause,2010,,,,,
The B-52's,classic pop and rock,1,261.74649,0.681598553,-9.628,The B52's,124.086,dance rock,Wig,1986,,,,,
Dakis,,0,172.25098,0.336970428,-8.46,Moments,66.765,greek,Perasmena Mesanihta,0,,,,,
Sex Pistols,british,4,216.60689,0.73118423,-3.736,Punk International,145.518,punk,God Save the Queen (Live),1988,,,,,
Chris Brown,,0,363.59791,0.892688611,-4.376,Forever,139.998,r&b,Forever,0,,,,,
Deekline & Wizard,,0,271.77751,0.332330882,-6.947,Breaks_ Beats & Blondes,90.648,breakbeat,Sun Is Shining,2004,,,,,
Daniela DessA!,,0,330.65751,0.349012002,-12.279,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation,140.334,opera,New Age,0,,,,,
Hem,country,1,133.27628,0.632242851,-15.736,Peace At Last - EP,89.86,folk-pop,Have Yourself A Merry Little Christmas,2005,,,,,
